code,name,kind,amount,effective from,unit,used in packs,specialties,max qty per pack,priced already
FINE-INFILTRATION-NEEDLES-25G-23G-SYRINGES,Fine infiltration needles (25G/23G) + syringes,CONSUMABLE,,2026-08-13,piece,1,Local (anaesthesia),4,no
FINE-SKIN-HOOKS-VESSEL-LOOPS,Fine skin hooks / vessel loops,CONSUMABLE,,2026-08-13,pack,1,Plastic Surgery,1,no
FINE-SUCTION-TONSIL-SUCKER,Fine suction (tonsil sucker),CONSUMABLE,,2026-08-13,piece,1,ENT (Otorhinolaryngology),1,no
FINE-SUCTION-CATHETERS-ASSORTED,Fine suction catheters (assorted),CONSUMABLE,,2026-08-13,piece,1,ENT (Otorhinolaryngology),2,no
FLUMAZENIL-BENZODIAZEPINE-REVERSAL-200-MCG,Flumazenil (benzodiazepine reversal) (200 mcg),DRUG,,2026-08-13,ampoule,1,Sedation (anaesthesia),1,no
FOREIGN-BODY-GRASPING-FORCEPS,Foreign-body grasping forceps,CONSUMABLE,,2026-08-13,piece,1,ENT (Otorhinolaryngology),1,no
FORMALIN-SPECIMEN-BOTTLES,Formalin specimen bottles,CONSUMABLE,,2026-08-13,bottle,1,ENT (Otorhinolaryngology),2,no
FORMALIN-SPECIMEN-BOTTLES-LABELLED-BY-SITE,Formalin specimen bottles (labelled by site),CONSUMABLE,,2026-08-13,bottle,1,Urology,6,no
FRONT-OF-NECK-ACCESS-CRICOTHYROIDOTOMY-KIT-SCALPEL,Front-of-neck-access (cricothyroidotomy) kit + scalpel,CONSUMABLE,,2026-08-13,kit,1,Adjunct (anaesthesia),1,no
GENTAMICIN-5-MG-KG,Gentamicin (5 mg/kg),DRUG,,2026-08-13,ampoule,1,Urology,1,no
GTN-FOR-HYPERTENSION-ISCHAEMIA,GTN (for hypertension/ischaemia),DRUG,,2026-08-13,vial,1,Adjunct (anaesthesia),1,no
GUEDEL-OROPHARYNGEAL-AIRWAYS-ASSORTED,Guedel oropharyngeal airways (assorted),CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),2,no
HAEMOSTATIC-CLIPS-DUCTAL,Haemostatic clips (ductal),CONSUMABLE,,2026-08-13,pack,1,Cardiothoracic Surgery,1,no
HAEMOSTATIC-CLIPS-HEM-O-LOK-LIGACLIP,Haemostatic clips (Hem-o-lok/Ligaclip),CONSUMABLE,,2026-08-13,pack,1,Urology,1,no
HEAVY-BUPIVACAINE-0-5-2-2-5-ML,Heavy Bupivacaine 0.5% (2–2.5 ml),DRUG,,2026-08-13,ampoule,1,Obstetric (anaesthesia),1,no
HEAVY-BUPIVACAINE-0-5-HYPERBARIC-2-3-ML-10-15-MG,Heavy Bupivacaine 0.5% (hyperbaric) (2–3 ml (10–15 mg)),DRUG,,2026-08-13,ampoule,1,Spinal (anaesthesia),1,no
HEAVY-BUPIVACAINE-0-5-INTRATHECAL-1-5-2-5-ML,Heavy Bupivacaine 0.5% (intrathecal) (1.5–2.5 ml),DRUG,,2026-08-13,ampoule,1,Combined Spinal-Epidural (anaesthesia),1,no
HIGH-SPEED-DRILL-CRANIOTOME-BURR,High-speed drill/craniotome burr,CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,1,no
HME-FILTER-HEAT-MOISTURE-EXCHANGER,HME filter (heat & moisture exchanger),CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),1,no
HUMBY-WATSON-KNIFE-BLADE-OR-DERMATOME-BLADE,Humby/Watson knife blade (or dermatome blade),CONSUMABLE,,2026-08-13,piece,1,Plastic Surgery,1,no
HYDROCORTISONE-200-MG,Hydrocortisone (200 mg),DRUG,,2026-08-13,vial,1,Adjunct (anaesthesia),1,no
HYDRODISSECTION-CANNULA,Hydrodissection cannula,CONSUMABLE,,2026-08-13,piece,1,Ophthalmology,1,no
INTRACAMERAL-CEFUROXIME-1-MG-0-1-ML,Intracameral Cefuroxime (1 mg/0.1 ml),DRUG,,2026-08-13,vial,1,Ophthalmology,1,no
INTRALIPID-20-LA-TOXICITY-RESCUE-1-5-ML-KG-BOLUS,Intralipid 20% (LA toxicity rescue) (1.5 ml/kg bolus),DRUG,,2026-08-13,bag,1,Regional (anaesthesia),1,no
INTRALIPID-20-LA-TOXICITY,Intralipid 20% (LA toxicity),DRUG,,2026-08-13,bag,1,Adjunct (anaesthesia),1,no
INTRAMEDULLARY-NAIL-LOCKING-BOLTS-IF-NAILING,Intramedullary nail + locking bolts (if nailing),CONSUMABLE,,2026-08-13,set,1,Orthopaedics,1,no
INTRODUCER-NEEDLE,Introducer needle,CONSUMABLE,,2026-08-13,piece,1,Spinal (anaesthesia),1,no
K-WIRES-ASSORTED,K-wires (assorted),CONSUMABLE,,2026-08-13,pack,1,Orthopaedics,1,no
KERATOME-SIDE-PORT-BLADE,Keratome + side-port blade,CONSUMABLE,,2026-08-13,set,1,Ophthalmology,1,no
KETAMINE-ANALGO-SEDATION-0-25-0-5-MG-KG,Ketamine (analgo-sedation) (0.25–0.5 mg/kg),DRUG,,2026-08-13,vial,1,Sedation (anaesthesia),1,no
LABETALOL-HYDRALAZINE,Labetalol / Hydralazine,DRUG,,2026-08-13,ampoule,1,Adjunct (anaesthesia),1,no
LARGE-ABDOMINAL-DRAIN-ROBINSON-REDIVAC,Large abdominal drain (Robinson/Redivac),CONSUMABLE,,2026-08-13,piece,1,General Surgery,2,no
LARGE-CLOSED-SUCTION-DRAIN,Large closed-suction drain,CONSUMABLE,,2026-08-13,piece,1,Urology,1,no
LARYNGEAL-MASK-AIRWAY-LMA,Laryngeal mask airway (LMA),CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),1,no
LARYNGOSCOPE-BLADES-MAC-3-4-SPARE-BATTERIES,Laryngoscope blades (Mac 3/4) + spare batteries,CONSUMABLE,,2026-08-13,set,1,General (anaesthesia),1,no
LIDOCAINE-1-2-FASTER-ONSET,Lidocaine 1–2% (faster onset),DRUG,,2026-08-13,vial,1,Regional (anaesthesia),1,no
LIDOCAINE-2-WITH-ADRENALINE-1-200-000-3-ML-TEST-DOSE,"Lidocaine 2% with Adrenaline 1:200,000 (3 ml test dose)",DRUG,,2026-08-13,vial,1,Epidural (anaesthesia),1,no
LIGHTWEIGHT-POLYPROPYLENE-MESH,Lightweight polypropylene mesh,CONSUMABLE,,2026-08-13,piece,1,General Surgery,1,no
LIGNOCAINE-1-2-ADRENALINE-1-200-000-MAX-3-MG-KG-PLAIN-7-MG-KG-WITH-ADRENALINE,"Lignocaine 1% / 2% (± Adrenaline 1:200,000) (max 3 mg/kg plain, 7 mg/kg with adrenaline)",DRUG,,2026-08-13,vial,1,Local (anaesthesia),2,no
LIGNOCAINE-2-20-ML,Lignocaine 2% (20 ml),DRUG,,2026-08-13,vial,1,General Surgery,1,no
LIGNOCAINE-2-PERIBULBAR-SUB-TENON-2-5-ML,Lignocaine 2% (peribulbar/sub-Tenon) (2–5 ml),DRUG,,2026-08-13,vial,1,Ophthalmology,1,no
LIGNOCAINE-2-PLAIN,Lignocaine 2% (plain),DRUG,,2026-08-13,vial,1,General (anaesthesia),1,no
LIGNOCAINE-2-WITH-ADRENALINE-1-100-000,"Lignocaine 2% with Adrenaline 1:100,000",DRUG,,2026-08-13,vial,1,ENT (Otorhinolaryngology),1,no
LIGNOCAINE-2-WITH-ADRENALINE-1-200-000-MAX-7-MG-KG-WITH-ADRENALINE,"Lignocaine 2% with Adrenaline 1:200,000 (max 7 mg/kg (with adrenaline))",DRUG,,2026-08-13,vial,1,Plastic Surgery,2,no
LIGNOCAINE-2-WITH-ADRENALINE-1-80-000-DENTAL,"Lignocaine 2% with Adrenaline 1:80,000 (dental)",DRUG,,2026-08-13,cartridge,1,Maxillofacial Surgery,2,no
LINEAR-CUTTER-STAPLER-RELOAD-IF-BOWEL-RESECTION,Linear cutter/stapler reload (if bowel resection),CONSUMABLE,,2026-08-13,piece,1,General Surgery,1,no
LINEAR-STAPLER-VASCULAR-PARENCHYMA-RELOADS,Linear stapler + vascular/parenchyma reloads,CONSUMABLE,,2026-08-13,set,1,Cardiothoracic Surgery,1,no
MAGNESIUM-SULFATE-2-G,Magnesium sulfate (2 g),DRUG,,2026-08-13,ampoule,1,Adjunct (anaesthesia),1,no
MANNITOL-20-0-5-1-G-KG,Mannitol 20% (0.5–1 g/kg),DRUG,,2026-08-13,bag,1,Neurosurgery,1,no
METOCLOPRAMIDE-10-MG,Metoclopramide (10 mg),DRUG,,2026-08-13,ampoule,1,Adjunct (anaesthesia),1,no
METRONIDAZOLE-500-MG,Metronidazole (500 mg),DRUG,,2026-08-13,bag,1,Maxillofacial Surgery,1,no
METRONIDAZOLE-7-5-MG-KG,Metronidazole (7.5 mg/kg),DRUG,,2026-08-13,bag,1,Paediatric Surgery,1,no
MICROBIOLOGY-SPECIMEN-CONTAINERS-C-S,Microbiology specimen containers (C/S),CONSUMABLE,,2026-08-13,piece,1,Orthopaedics,3,no
MICROLARYNGEAL-TUBE-MLT,Microlaryngeal tube (MLT),CONSUMABLE,,2026-08-13,piece,1,ENT (Otorhinolaryngology),1,no
MICROSCOPE-DRAPE,Microscope drape,CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,1,no
MIDAZOLAM-0-02-0-05-MG-KG,Midazolam (0.02–0.05 mg/kg),DRUG,,2026-08-13,ampoule,1,Sedation (anaesthesia),1,no
MINERAL-OIL-LIQUID-PARAFFIN-GLIDE,Mineral oil / liquid paraffin (glide),CONSUMABLE,,2026-08-13,bottle,1,Plastic Surgery,1,no
MISOPROSTOL-200-MCG,Misoprostol (200 mcg),DRUG,,2026-08-13,tablet,1,Obstetrics & Gynaecology,4,no
MITOMYCIN-C-MMC-0-02-0-2-MG-ML,Mitomycin C (MMC) (0.02% (0.2 mg/ml)),DRUG,,2026-08-13,vial,1,Ophthalmology,1,no
MMF-SCREWS-ARCH-BARS-WIRES,MMF screws / arch bars + wires,CONSUMABLE,,2026-08-13,set,1,Maxillofacial Surgery,1,no
MONO-CORTICAL-BI-CORTICAL-SCREWS-ASSORTED,Mono-cortical/bi-cortical screws (assorted),CONSUMABLE,,2026-08-13,set,1,Maxillofacial Surgery,1,no
MONOCRYL-SKIN,Monocryl (skin),CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
MONOCRYL-SUBCUTICULAR,Monocryl (subcuticular),CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
MONOCRYL-NYLON-SKIN,Monocryl/Nylon (skin),CONSUMABLE,,2026-08-13,piece,1,Obstetrics & Gynaecology,1,no
MONOPOLAR-DIATHERMY-PENCIL-PLATE,Monopolar diathermy pencil + plate,CONSUMABLE,,2026-08-13,set,1,Neurosurgery,1,no
NALOXONE-OPIOID-REVERSAL-400-MCG,Naloxone (opioid reversal) (400 mcg),DRUG,,2026-08-13,ampoule,1,Sedation (anaesthesia),1,no
NASAL-CANNULA-HUDSON-O2-MASK,Nasal cannula / Hudson O2 mask,CONSUMABLE,,2026-08-13,piece,1,Sedation (anaesthesia),1,no
NEOSTIGMINE-GLYCOPYRROLATE-50-MCG-KG-10-MCG-KG,Neostigmine + Glycopyrrolate (50 mcg/kg + 10 mcg/kg),DRUG,,2026-08-13,ampoule,1,General (anaesthesia),1,no
NERVE-STIMULATOR-ELECTRODE-PADS,Nerve stimulator electrode pads,CONSUMABLE,,2026-08-13,set,1,Regional (anaesthesia),1,no
NEURO-PATTIES-RIBBON-GAUZE-NASAL,Neuro-patties / ribbon gauze (nasal),CONSUMABLE,,2026-08-13,pack,1,ENT (Otorhinolaryngology),1,no
NEUROSURGICAL-PATTIES,Neurosurgical patties,CONSUMABLE,,2026-08-13,pack,1,Neurosurgery,1,no
NORMAL-SALINE-FOR-IRRIGATION,Normal saline for irrigation,CONSUMABLE,,2026-08-13,litre,1,Orthopaedics,3,no
NORMAL-SALINE-FOR-LAVAGE,Normal saline for lavage,CONSUMABLE,,2026-08-13,litre,1,Orthopaedics,6,no
NYLON-SUTURE-DRAIN-SKIN,Nylon suture (drain/skin),CONSUMABLE,,2026-08-13,piece,1,Cardiothoracic Surgery,2,no
NYLON-SUTURE-OPHTHALMIC,Nylon suture (ophthalmic),CONSUMABLE,,2026-08-13,piece,1,Ophthalmology,1,no
NYLON-SUTURE-SCALP,Nylon suture (scalp),CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,2,no
NYLON-SUTURE-SCALP-ABDOMEN,Nylon suture (scalp/abdomen),CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,2,no
NYLON-SUTURE-STAY-SKIN,Nylon suture (stay/skin),CONSUMABLE,,2026-08-13,piece,1,ENT (Otorhinolaryngology),2,no
NYLON-PROLENE-SUTURE-TENDON-CORE,Nylon/Prolene suture (tendon core),CONSUMABLE,,2026-08-13,piece,1,Plastic Surgery,2,no
NYLON-STAPLES-SCALP,Nylon/staples (scalp),CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,2,no
ONDANSETRON-4-MG,Ondansetron (4 mg),DRUG,,2026-08-13,ampoule,1,General (anaesthesia),1,no
OPHTHALMIC-BLADE-CRESCENT-KERATOME-SIDE-PORT,Ophthalmic blade (crescent/keratome/side-port),CONSUMABLE,,2026-08-13,set,1,Ophthalmology,1,no
OPHTHALMIC-DRAPE-FENESTRATED-ADHESIVE,"Ophthalmic drape (fenestrated, adhesive)",CONSUMABLE,,2026-08-13,piece,1,Ophthalmology,1,no
OPHTHALMIC-VISCOELASTIC-OVD-E-G-HPMC,"Ophthalmic viscoelastic (OVD, e.g. HPMC)",DRUG,,2026-08-13,syringe,1,Ophthalmology,1,no
OPHTHALMIC-VISCOELASTIC-OVD,Ophthalmic viscoelastic (OVD),CONSUMABLE,,2026-08-13,syringe,1,Ophthalmology,1,no
OPTICAL-MAGNIFICATION-LOUPES-DRAPE,Optical magnification loupes drape,CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
OXYTOCIN-10-IU,Oxytocin (10 IU),DRUG,,2026-08-13,ampoule,1,Obstetrics & Gynaecology,5,no
OXYTOCIN-5-IU-SLOW-IV-THEN-INFUSION,Oxytocin (5 IU slow IV then infusion),DRUG,,2026-08-13,ampoule,1,Obstetric (anaesthesia),5,no
PAEDIATRIC-BREATHING-CIRCUIT-AYRE-S-T-PIECE-JACKSON-REES,Paediatric breathing circuit (Ayre’s T-piece/Jackson-Rees),CONSUMABLE,,2026-08-13,piece,1,Paediatric (anaesthesia),1,no
PAEDIATRIC-CHEST-DRAIN,Paediatric chest drain,CONSUMABLE,,2026-08-13,piece,1,Cardiothoracic Surgery,1,no
PAEDIATRIC-ECG-ELECTRODES-SMALL-NIBP-CUFF-SPO2,Paediatric ECG electrodes + small NIBP cuff + SpO2,CONSUMABLE,,2026-08-13,set,1,Paediatric (anaesthesia),1,no
PAEDIATRIC-ETT-UNCUFFED-MICROCUFF-ASSORTED,"Paediatric ETT (uncuffed/microcuff, assorted)",CONSUMABLE,,2026-08-13,piece,1,Paediatric (anaesthesia),3,no
PAEDIATRIC-FACE-MASKS-GUEDEL-AIRWAYS,Paediatric face masks + Guedel airways,CONSUMABLE,,2026-08-13,set,1,Paediatric (anaesthesia),1,no
PAEDIATRIC-FOLEY-CATHETER,Paediatric Foley catheter,CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
PAEDIATRIC-IV-CANNULA-22G-24G,Paediatric IV cannula (22G/24G),CONSUMABLE,,2026-08-13,piece,1,Paediatric (anaesthesia),2,no
PAEDIATRIC-LMA-SIZES-1-2-5,Paediatric LMA (sizes 1–2.5),CONSUMABLE,,2026-08-13,piece,1,Paediatric (anaesthesia),1,no
PAEDIATRIC-NG-TUBE,Paediatric NG tube,CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
PAEDIATRIC-NG-FEEDING-TUBE,Paediatric NG/feeding tube,CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
PAEDIATRIC-STOMA-APPLIANCE,Paediatric stoma appliance,CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
PAEDIATRIC-URETHRAL-CATHETER-STENT,Paediatric urethral catheter/stent,CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
PDS-LOOP-MASS-CLOSURE,PDS loop (mass closure),CONSUMABLE,,2026-08-13,piece,1,Obstetrics & Gynaecology,1,no
PDS-LOOP-SUTURE-MASS-CLOSURE,PDS loop suture (mass closure),CONSUMABLE,,2026-08-13,piece,1,General Surgery,2,no
PDS-SUTURE,PDS suture,CONSUMABLE,,2026-08-13,piece,1,General Surgery,2,no
PDS-SUTURE-TENDON,PDS suture (tendon),CONSUMABLE,,2026-08-13,piece,1,Plastic Surgery,2,no
PDS-VICRYL-BLADDER,PDS/Vicryl (bladder),CONSUMABLE,,2026-08-13,piece,1,Urology,2,no
PELVIC-DRAIN,Pelvic drain,CONSUMABLE,,2026-08-13,piece,1,Obstetrics & Gynaecology,1,no
PELVIC-RETROPUBIC-DRAIN,Pelvic/retropubic drain,CONSUMABLE,,2026-08-13,piece,1,Urology,1,no
PERICOSTAL-HEAVY-VICRYL-RIB-APPROXIMATION,Pericostal / heavy Vicryl (rib approximation),CONSUMABLE,,2026-08-13,piece,1,Cardiothoracic Surgery,2,no
PHENYLEPHRINE-INFUSION-BOLUSES,Phenylephrine (infusion/boluses),DRUG,,2026-08-13,ampoule,1,Obstetric (anaesthesia),2,no
PHENYLEPHRINE-OR-EPHEDRINE,Phenylephrine (or Ephedrine),DRUG,,2026-08-13,ampoule,1,Combined Spinal-Epidural (anaesthesia),1,no
PHENYLEPHRINE-OR-EPHEDRINE-50-100-MCG-BOLUSES,Phenylephrine (or Ephedrine) (50–100 mcg boluses),DRUG,,2026-08-13,ampoule,1,Spinal (anaesthesia),1,no
PHENYTOIN-15-MG-KG-LOADING,Phenytoin (15 mg/kg loading),DRUG,,2026-08-13,ampoule,1,Neurosurgery,1,no
PLASTER-OF-PARIS-SYNTHETIC-CAST-WOOL,Plaster of Paris / synthetic cast + wool,CONSUMABLE,,2026-08-13,set,1,Orthopaedics,1,no
PNEUMATIC-TOURNIQUET-CUFF-WRAP,Pneumatic tourniquet cuff + wrap,CONSUMABLE,,2026-08-13,set,1,Orthopaedics,1,no
POSTERIOR-CHAMBER-IOL-PCIOL,Posterior-chamber IOL (PCIOL),CONSUMABLE,,2026-08-13,piece,1,Ophthalmology,1,no
POVIDONE-IODINE-5-OCULAR,Povidone-iodine 5% (ocular),DRUG,,2026-08-13,bottle,1,Ophthalmology,1,no
PRESERVATIVE-FREE-MORPHINE-OPTIONAL-100-200-MCG,Preservative-free Morphine (optional) (100–200 mcg),DRUG,,2026-08-13,ampoule,1,Spinal (anaesthesia),1,no
PRESERVATIVE-FREE-MORPHINE-OPTIONAL-2-4-MG,Preservative-free Morphine (optional) (2–4 mg),DRUG,,2026-08-13,ampoule,1,Epidural (anaesthesia),1,no
PRESSURE-TRANSDUCER-FLUSH-SET,Pressure transducer + flush set,CONSUMABLE,,2026-08-13,set,1,Adjunct (anaesthesia),1,no
PROLENE-POLYPROPYLENE-SUTURE,Prolene (polypropylene) suture,CONSUMABLE,,2026-08-13,piece,1,General Surgery,2,no
PROLENE-SUTURE-VASCULAR-BRONCHUS,Prolene suture (vascular/bronchus),CONSUMABLE,,2026-08-13,piece,1,Cardiothoracic Surgery,3,no
PROPARACAINE-TOPICAL-ANAESTHETIC,Proparacaine (topical anaesthetic),DRUG,,2026-08-13,bottle,1,Ophthalmology,1,no
PROPARACAINE-TETRACAINE-TOPICAL-ANAESTHETIC-DROPS,Proparacaine/Tetracaine (topical anaesthetic) drops,DRUG,,2026-08-13,bottle,1,Ophthalmology,1,no
PROPOFOL-TITRATED-TCI-TITRATE,Propofol (titrated / TCI) (titrate),DRUG,,2026-08-13,ampoule,1,Sedation (anaesthesia),1,no
PROPOFOL-SEVOFLURANE-INDUCTION-PROPOFOL-3-4-MG-KG,Propofol / Sevoflurane induction (Propofol 3–4 mg/kg),DRUG,,2026-08-13,ampoule,1,Paediatric (anaesthesia),1,no
PROPOFOL-1-1-5-2-5-MG-KG,Propofol 1% (1.5–2.5 mg/kg),DRUG,,2026-08-13,ampoule,1,General (anaesthesia),2,no
PULSE-LAVAGE-BULB-IRRIGATION,Pulse lavage / bulb irrigation,CONSUMABLE,,2026-08-13,set,1,Orthopaedics,1,no
PULSE-LAVAGE-SALINE-3-L,Pulse lavage + saline 3 L,CONSUMABLE,,2026-08-13,set,1,Orthopaedics,1,no
PULSE-LAVAGE-SET,Pulse lavage set,CONSUMABLE,,2026-08-13,set,1,Orthopaedics,1,no
RANGE-OF-ETTS-SMALL-SIZES-INCL-5-0-6-0,Range of ETTs (small sizes incl. 5.0–6.0),CONSUMABLE,,2026-08-13,piece,1,Adjunct (anaesthesia),3,no
RANITIDINE-OMEPRAZOLE,Ranitidine/Omeprazole,DRUG,,2026-08-13,ampoule,1,Adjunct (anaesthesia),1,no
RECIPROCATING-OSCILLATING-SAW-BLADE,Reciprocating/oscillating saw blade,CONSUMABLE,,2026-08-13,piece,1,Maxillofacial Surgery,1,no
RECONSTRUCTION-PLATE-LOCKING-SCREWS,Reconstruction plate + locking screws,CONSUMABLE,,2026-08-13,set,1,Maxillofacial Surgery,1,no
RINGER-S-LACTATE-0-45-SALINE-DEXTROSE-MAINTENANCE-PER-WEIGHT,Ringer's Lactate / 0.45% saline+dextrose (maintenance) (per weight),DRUG,,2026-08-13,bag,1,Paediatric Surgery,1,no
RINGER-S-LACTATE-MAINTENANCE-FLUID-PER-WEIGHT,Ringer's Lactate / maintenance fluid (per weight),DRUG,,2026-08-13,bag,1,Paediatric (anaesthesia),1,no
ROCURONIUM-HIGH-DOSE-RSI-ALT-1-2-MG-KG,Rocuronium (high-dose RSI alt) (1.2 mg/kg),DRUG,,2026-08-13,vial,1,Adjunct (anaesthesia),1,no
ROCURONIUM-OR-ATRACURIUM-0-6-MG-KG,Rocuronium (or Atracurium) (0.6 mg/kg),DRUG,,2026-08-13,vial,1,General (anaesthesia),1,no
ROPIVACAINE-0-5-OR-BUPIVACAINE-0-5-BLOCK-DEPENDENT-WITHIN-MAX,"Ropivacaine 0.5% (or Bupivacaine 0.5%) (block-dependent, within max)",DRUG,,2026-08-13,vial,1,Regional (anaesthesia),2,no
SALBUTAMOL-NEBULES-HYDROCORTISONE-REACTIVE-AIRWAY,Salbutamol nebules + Hydrocortisone (reactive airway),DRUG,,2026-08-13,set,1,Adjunct (anaesthesia),1,no
SAW-BLADE-OSCILLATING,Saw blade / oscillating,CONSUMABLE,,2026-08-13,piece,1,Orthopaedics,1,no
SECOND-GENERATION-SUPRAGLOTTIC-AIRWAY-I-GEL-PROSEAL,Second-generation supraglottic airway (i-gel/ProSeal),CONSUMABLE,,2026-08-13,piece,1,Adjunct (anaesthesia),2,no
SEVOFLURANE-VOLATILE,Sevoflurane (volatile),DRUG,,2026-08-13,bottle,1,General (anaesthesia),1,no
SHUNT-PASSER-TUNNELER,Shunt passer/tunneler,CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,1,no
SILK-SUTURE,Silk suture,CONSUMABLE,,2026-08-13,piece,1,General Surgery,2,no
SILK-PROLENE-TIES-DUCTAL-LIGATION,Silk/Prolene ties (ductal ligation),CONSUMABLE,,2026-08-13,piece,1,Cardiothoracic Surgery,3,no
SIMCOE-I-A-CANNULA,Simcoe / I-A cannula,CONSUMABLE,,2026-08-13,piece,1,Ophthalmology,1,no
SKIN-GLUE-ADHESIVE-STRIPS,Skin glue / adhesive strips,CONSUMABLE,,2026-08-13,piece,1,Paediatric Surgery,1,no
SKIN-GRAFT-MESHER-MESH-PLATE,Skin graft mesher / mesh plate,CONSUMABLE,,2026-08-13,piece,1,Plastic Surgery,1,no
SKIN-MARKER,Skin marker,CONSUMABLE,,2026-08-13,piece,1,General Surgery,1,no
SKIN-MARKER-RULER,Skin marker + ruler,CONSUMABLE,,2026-08-13,piece,1,Plastic Surgery,1,no
SKIN-PREP-CHLORHEXIDINE,Skin prep (chlorhexidine),CONSUMABLE,,2026-08-13,applicator,1,Regional (anaesthesia),1,no
SKIN-PREP-CHLORHEXIDINE-POVIDONE,Skin prep (chlorhexidine/povidone),CONSUMABLE,,2026-08-13,bottle,1,Local (anaesthesia),1,no
SKIN-STAPLER-NYLON-2-0,Skin stapler / Nylon 2-0,CONSUMABLE,,2026-08-13,piece,1,General Surgery,1,no
SODIUM-BICARBONATE-8-4,Sodium bicarbonate 8.4%,DRUG,,2026-08-13,bottle,1,Adjunct (anaesthesia),1,no
SODIUM-CITRATE-RANITIDINE-METOCLOPRAMIDE,Sodium citrate + Ranitidine + Metoclopramide,DRUG,,2026-08-13,set,1,Obstetric (anaesthesia),1,no
SODIUM-CITRATE-0-3M-30-ML,Sodium citrate 0.3M (30 ml),DRUG,,2026-08-13,bottle,1,Adjunct (anaesthesia),1,no
SOLUBLE-INSULIN-SLIDING-SCALE,Soluble insulin (sliding scale),DRUG,,2026-08-13,vial,1,Adjunct (anaesthesia),1,no
SPINAL-NEEDLE-PENCIL-POINT,Spinal needle (pencil-point),CONSUMABLE,,2026-08-13,piece,1,Spinal (anaesthesia),1,no
STAPLES-CHROMIC-4-0-GRAFT-FIXATION,Staples / Chromic 4-0 (graft fixation),CONSUMABLE,,2026-08-13,piece,1,Plastic Surgery,1,no
STERILE-GLOVES-PROBE-COVER,Sterile gloves + probe cover,CONSUMABLE,,2026-08-13,set,1,Urology,1,no
STERILE-WATER-GLYCINE-FOR-IRRIGATION-3-L,Sterile water / Glycine for irrigation (3 L),DRUG,,2026-08-13,litre,1,Urology,3,no
STERNAL-WIRE,Sternal wire,CONSUMABLE,,2026-08-13,pack,1,Cardiothoracic Surgery,1,no
STUMP-COMPRESSION-DRESSING-CREPE,Stump/compression dressing + crepe,CONSUMABLE,,2026-08-13,set,1,Orthopaedics,1,no
SUBDURAL-SOFT-CLOSED-DRAIN,Subdural/soft closed drain,CONSUMABLE,,2026-08-13,piece,1,Neurosurgery,1,no
SUCTION-CATHETERS-ASSORTED,Suction catheters (assorted),CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),2,no
SUCTION-CATHETERS-YANKAUER,Suction catheters + Yankauer,CONSUMABLE,,2026-08-13,set,1,Sedation (anaesthesia),1,no
SUPRAPUBIC-CATHETER,Suprapubic catheter,CONSUMABLE,,2026-08-13,piece,1,Urology,1,no
TEMPERATURE-PROBE,Temperature probe,CONSUMABLE,,2026-08-13,piece,1,General (anaesthesia),1,no
THIOPENTONE-ALT-INDUCTION-3-5-MG-KG,Thiopentone (alt induction) (3–5 mg/kg),DRUG,,2026-08-13,vial,1,General (anaesthesia),1,no
THROAT-PACK,Throat pack,CONSUMABLE,,2026-08-13,piece,1,ENT (Otorhinolaryngology),1,no
TIE-OVER-FOAM-BOLSTER-DRESSING,Tie-over / foam bolster dressing,CONSUMABLE,,2026-08-13,set,1,Plastic Surgery,1,no
TITANIUM-MINI-MICRO-PLATES-ASSORTED,Titanium mini/micro plates (assorted),CONSUMABLE,,2026-08-13,set,1,Maxillofacial Surgery,1,no
TONSILLAR-SWABS-ON-HOLDER,Tonsillar swabs (on holder),CONSUMABLE,,2026-08-13,piece,1,ENT (Otorhinolaryngology),5,no
TOPICAL-ANTIBIOTIC-CIPROFLOXACIN-MOXIFLOXACIN-DROPS,Topical antibiotic (Ciprofloxacin/Moxifloxacin) drops,DRUG,,2026-08-13,bottle,1,Ophthalmology,1,no
TOPICAL-ANTIBIOTIC-STEROID-DROPS,Topical antibiotic-steroid drops,DRUG,,2026-08-13,bottle,1,Ophthalmology,1,no
TOPICAL-LIGNOCAINE-SPRAY-AIRWAY,Topical Lignocaine spray (airway),CONSUMABLE,,2026-08-13,bottle,1,ENT (Otorhinolaryngology),1,no
